2.16.82.0,,2.16.83.255,,GTT Communications
62.17.160.112,,62.17.161.255,,MCI Communications  
62.17.162.48,,62.17.162.79,,MCI Communications  
62.17.162.112,,62.17.163.255,,MCI Communications  
62.17.165.0,,62.17.166.111,,MCI Communications  
62.17.166.128,,62.17.168.95,,MCI Communications  
62.17.168.128,,62.17.168.175,,MCI Communications  
62.17.168.208,,62.17.169.31,,MCI Communications  
62.17.169.64,,62.17.169.127,,MCI Communications  
62.17.169.160,,62.17.172.15,,MCI Communications  
62.17.172.48,,62.17.172.63,,MCI Communications  
62.17.172.96,,62.17.172.111,,MCI Communications  
62.17.172.128,,62.17.172.223,,MCI Communications  
62.17.172.232,,62.17.172.239,,MCI Communications  
62.17.173.0,,62.17.173.255,,MCI Communications  
62.17.174.32,,62.17.174.47,,MCI Communications  
62.17.174.72,,62.17.174.87,,MCI Communications  
62.17.174.96,,62.17.174.103,,MCI Communications  
62.17.174.112,,62.17.174.159,,MCI Communications  
62.17.174.168,,62.17.174.207,,MCI Communications  
62.17.174.216,,62.17.177.255,,MCI Communications  
62.17.179.64,,62.17.220.223,,MCI Communications  
62.17.221.0,,62.17.240.15,,MCI Communications  
62.17.240.32,,62.17.240.63,,MCI Communications  
62.17.240.80,,62.17.240.223,,MCI Communications  
62.17.242.0,,62.17.242.255,,MCI Communications  
62.17.243.40,,62.17.243.47,,MCI Communications  
62.17.243.64,,62.17.243.127,,MCI Communications  
62.17.243.160,,62.17.246.15,,MCI Communications  
62.17.246.96,,62.17.246.127,,MCI Communications  
62.17.247.0,,62.17.248.47,,MCI Communications  
62.17.248.64,,62.17.248.95,,MCI Communications  
62.17.248.112,,62.17.248.159,,MCI Communications  
62.17.248.176,,62.17.248.207,,MCI Communications  
62.17.249.0,,62.17.249.255,,MCI Communications  
62.17.250.240,,62.17.252.15,,MCI Communications  
62.17.252.64,,62.17.252.103,,MCI Communications  
62.17.252.112,,62.17.252.127,,MCI Communications  
62.17.252.192,,62.17.255.255,,MCI Communications  
62.23.149.216,,62.23.149.223,,COLT Technology 
62.40.32.0,,62.40.63.255,,Three Ireland
62.40.96.3,,62.40.96.3,,GEANT 
62.40.96.25,,62.40.96.25,,GEANT 
62.40.97.6,,62.40.97.6,,GEANT 
62.40.98.2,,62.40.98.3,,GEANT 
62.40.98.36,,62.40.98.36,,GEANT 
62.40.98.91,,62.40.98.91,,GEANT 
62.40.98.149,,62.40.98.149,,GEANT 
62.40.102.34,,62.40.102.37,,GEANT 
62.40.109.97,,62.40.109.98,,GEANT 
62.40.123.113,,62.40.123.113,,GEANT 
62.40.123.141,,62.40.123.141,,GEANT 
62.40.125.13,,62.40.125.14,,GEANT 
62.40.125.125,,62.40.125.126,,GEANT 
62.77.160.0,,62.77.191.255,,Eircom
62.96.11.120,,62.96.11.127,,COLT Technology 
62.109.45.38,,62.109.45.38,,IP-Only Networks 
62.115.32.57,,62.115.32.58,,Telia Company 
62.115.32.61,,62.115.32.62,,Telia Company 
62.115.32.217,,62.115.32.218,,Telia Company 
62.115.44.189,,62.115.44.190,,Telia Company 
62.115.45.198,,62.115.45.199,,Telia Company 
62.115.55.13,,62.115.55.14,,Telia Company 
62.115.55.105,,62.115.55.106,,Telia Company 
62.115.56.185,,62.115.56.186,,Telia Company 
62.115.63.25,,62.115.63.26,,Telia Company 
62.115.113.235,,62.115.113.235,,Telia Company 
62.115.116.131,,62.115.116.131,,Telia Company 
62.115.116.133,,62.115.116.133,,Telia Company 
62.115.119.243,,62.115.119.243,,Telia Company 
62.115.119.245,,62.115.119.245,,Telia Company 
62.115.119.247,,62.115.119.247,,Telia Company 
62.115.120.11,,62.115.120.11,,Telia Company 
62.115.120.13,,62.115.120.13,,Telia Company 
62.115.120.93,,62.115.120.93,,Telia Company 
62.115.120.101,,62.115.120.101,,Telia Company 
62.115.120.103,,62.115.120.103,,Telia Company 
62.115.120.105,,62.115.120.105,,Telia Company 
62.115.120.107,,62.115.120.107,,Telia Company 
62.115.136.69,,62.115.136.69,,Telia Company 
62.115.136.71,,62.115.136.71,,Telia Company 
62.115.136.73,,62.115.136.73,,Telia Company 
62.115.136.75,,62.115.136.75,,Telia Company 
62.115.146.0,,62.115.146.1,,Telia Company 
62.115.146.14,,62.115.146.15,,Telia Company 
62.115.147.130,,62.115.147.131,,Telia Company 
62.115.148.204,,62.115.148.205,,Telia Company 
62.115.154.232,,62.115.154.233,,Telia Company 
62.115.156.164,,62.115.156.165,,Telia Company 
62.179.128.5,,62.179.128.8,,Liberty Global 
62.179.128.100,,62.179.128.101,,Liberty Global 
62.179.128.104,,62.179.128.105,,Liberty Global 
62.179.129.177,,62.179.129.178,,Liberty Global 
62.179.129.181,,62.179.129.182,,Liberty Global 
62.179.129.186,,62.179.129.186,,Liberty Global 
62.179.129.189,,62.179.129.190,,Liberty Global 
62.179.129.241,,62.179.129.242,,Liberty Global 
62.179.129.249,,62.179.129.250,,Liberty Global 
62.179.144.65,,62.179.144.71,,Liberty Global 
62.185.176.192,,62.185.176.255,,Irish Biscuits
62.185.188.160,,62.185.188.191,,Printer Wire Supplies
62.185.213.128,,62.185.213.191,,Nissan Europe
62.185.224.0,,62.185.224.127,,Irish Biscuits
62.185.225.0,,62.185.225.255,,Manufacturing Services 
62.186.146.0,,62.186.147.255,,Celestica Ireland 
62.187.184.0,,62.187.185.255,,Manufacturing Services 
62.187.232.0,,62.187.234.255,,Manufacturing Services 
62.187.235.32,,62.187.235.63,,IBM
62.189.239.64,,62.189.239.71,,MCI Communications  
62.200.216.64,,62.200.216.111,,AT&T 
62.221.0.0,,62.221.0.255,,Vodafone 
62.221.1.64,,62.221.1.127,,Vodafone 
62.221.2.12,,62.221.2.15,,Vodafone 
62.221.2.17,,62.221.2.18,,Vodafone 
62.221.2.56,,62.221.2.63,,Vodafone 
62.221.2.72,,62.221.2.79,,Vodafone 
62.221.5.128,,62.221.5.143,,Vodafone 
62.221.5.208,,62.221.5.223,,Vodafone 
62.221.6.0,,62.221.6.63,,Vodafone 
62.221.7.104,,62.221.7.127,,Vodafone 
62.221.7.136,,62.221.7.143,,Vodafone 
62.221.7.152,,62.221.7.167,,Vodafone 
62.221.11.192,,62.221.11.255,,Vodafone 
62.221.12.32,,62.221.12.127,,Vodafone 
62.221.12.160,,62.221.12.191,,Vodafone 
62.221.14.24,,62.221.14.39,,Vodafone 
62.221.14.48,,62.221.14.63,,Vodafone 
62.221.14.72,,62.221.14.79,,Vodafone 
62.221.15.0,,62.221.16.255,,Vodafone 
62.221.18.0,,62.221.18.255,,Vodafone 
62.221.225.0,,62.221.225.255,,GTT Communications 
62.231.32.0,,62.231.63.255,,Imagine Communications 
62.254.160.144,,62.254.160.151,,Virgin Media 
62.254.160.176,,62.254.160.183,,Virgin Media 
62.254.161.168,,62.254.161.175,,Virgin Media 
62.254.163.32,,62.254.163.39,,Virgin Media 
62.254.164.120,,62.254.164.135,,Virgin Media 
62.254.164.144,,62.254.164.151,,Virgin Media 
63.32.103.0,,63.32.104.255,,MCI Communications  
63.32.107.0,,63.32.108.255,,MCI Communications  
63.32.241.0,,63.32.241.255,,MCI Communications  
63.32.248.0,,63.32.249.255,,MCI Communications  
63.32.253.0,,63.32.253.255,,MCI Communications  
63.33.8.0,,63.33.8.255,,MCI Communications  
63.33.13.0,,63.33.13.255,,MCI Communications  
63.33.17.0,,63.33.17.255,,MCI Communications  
63.33.79.0,,63.33.79.255,,MCI Communications  
63.33.107.0,,63.33.107.255,,MCI Communications  
63.33.109.0,,63.33.109.255,,MCI Communications  
63.33.130.0,,63.33.130.255,,MCI Communications  
63.33.170.0,,63.33.170.255,,MCI Communications  
63.33.223.0,,63.33.224.255,,MCI Communications  
63.33.255.0,,63.33.255.255,,MCI Communications  
63.34.171.0,,63.34.171.255,,MCI Communications  
63.34.240.0,,63.34.247.255,,MCI Communications  
63.35.183.0,,63.35.184.255,,MCI Communications  
63.141.223.121,,63.141.223.121,,GTT Communications 
63.141.223.123,,63.141.223.123,,GTT Communications 
63.210.165.0,,63.210.165.193,,Level 3 
63.210.165.195,,63.210.165.223,,Level 3 
63.225.65.104,,63.225.65.104,,Qwest Communications 
63.225.65.106,,63.225.65.107,,Qwest Communications 
63.243.149.48,,63.243.149.63,,TATA Communications
63.243.249.0,,63.243.249.7,,TATA Communications
64.4.22.128,,64.4.22.255,,Microsoft 
64.4.50.128,,64.4.50.255,,Microsoft 
64.28.90.96,,64.28.90.111,,Savvis
64.35.33.144,,64.35.33.151,,MCI Communications   
64.39.44.0,,64.39.44.15,,Savvis
64.39.44.128,,64.39.44.143,,Savvis
64.39.49.96,,64.39.49.111,,Savvis
64.43.0.0,,64.43.63.255,,Vodafone Ireland 
64.90.233.0,,64.90.233.255,,Bentley Systems
64.208.169.141,,64.208.169.142,,Level 3 
64.208.177.113,,64.208.177.114,,Level 3 
64.208.205.233,,64.208.205.234,,Level 3 
64.209.88.21,,64.209.88.22,,Level 3 
64.209.93.81,,64.209.93.82,,Level 3 
64.209.95.201,,64.209.95.202,,Level 3 
64.210.14.253,,64.210.14.254,,Level 3 
64.210.101.33,,64.210.101.34,,Level 3 
64.211.64.97,,64.211.64.98,,Level 3 
64.211.72.75,,64.211.72.75,,Level 3 
64.211.72.101,,64.211.72.101,,Level 3 
64.211.72.196,,64.211.72.196,,Level 3 
64.211.72.199,,64.211.72.199,,Level 3 
64.212.109.73,,64.212.109.74,,Level 3 
64.213.22.153,,64.213.22.154,,Level 3 
64.213.104.221,,64.213.104.222,,Level 3 
64.214.60.17,,64.214.60.18,,Level 3 
64.214.60.137,,64.214.60.138,,Level 3 
64.214.62.201,,64.214.62.202,,Level 3 
64.214.124.200,,64.214.124.203,,Level 3 
64.214.142.9,,64.214.142.10,,Level 3 
64.214.145.73,,64.214.145.74,,Level 3 
64.215.184.109,,64.215.184.110,,Level 3 
64.215.184.193,,64.215.184.194,,Level 3 
64.215.195.141,,64.215.195.142,,Level 3 
65.52.64.0,,65.52.79.255,,Microsoft 
65.52.224.0,,65.52.231.255,,Microsoft 
65.55.4.0,,65.55.4.255,,Microsoft 
65.55.60.160,,65.55.60.171,,Microsoft 
65.55.211.128,,65.55.211.191,,Microsoft 
65.55.216.0,,65.55.216.255,,Microsoft 
66.29.192.176,,66.29.192.183,,Cbeyond Communications
66.29.193.29,,66.29.193.37,,Cbeyond Communications
66.54.204.0,,66.54.204.255,,Reliance Globalcom 
66.111.45.120,,66.111.45.129,,Sago Networks 
66.196.65.19,,66.196.65.19,,Yahoo!
66.196.65.21,,66.196.65.21,,Yahoo!
67.16.131.42,,67.16.131.44,,Level 3
67.16.134.41,,67.16.134.41,,Level 3
67.16.136.109,,67.16.136.109,,Level 3
67.16.145.66,,67.16.145.66,,Level 3
67.16.145.125,,67.16.145.125,,Level 3
67.16.166.66,,67.16.166.66,,Level 3
67.16.166.162,,67.16.166.162,,Level 3
67.16.172.41,,67.16.172.41,,Level 3
67.16.172.163,,67.16.172.163,,Level 3
67.16.178.250,,67.16.178.250,,Level 3
67.16.178.253,,67.16.178.254,,Level 3
67.16.179.1,,67.16.179.2,,Level 3
67.17.64.37,,67.17.64.38,,Level 3
67.17.68.225,,67.17.68.226,,Level 3
67.17.76.98,,67.17.76.98,,Level 3
67.17.76.104,,67.17.76.104,,Level 3
67.17.81.134,,67.17.81.134,,Level 3
67.17.82.170,,67.17.82.170,,Level 3
67.17.86.185,,67.17.86.185,,Level 3
67.17.86.189,,67.17.86.189,,Level 3
67.17.96.21,,67.17.96.21,,Level 3
67.17.96.73,,67.17.96.73,,Level 3
67.17.98.20,,67.17.98.20,,Level 3
67.17.100.154,,67.17.100.154,,Level 3
67.17.100.181,,67.17.100.182,,Level 3
67.17.104.133,,67.17.104.133,,Level 3
67.17.168.52,,67.17.168.52,,Level 3
67.17.168.55,,67.17.168.55,,Level 3
67.17.194.209,,67.17.194.210,,Level 3
67.17.211.53,,67.17.211.54,,Level 3
67.148.49.8,,67.148.49.8,,Qwest Communications 
67.148.49.10,,67.148.49.15,,Qwest Communications 
67.148.49.144,,67.148.49.151,,Qwest Communications 
67.148.66.200,,67.148.66.207,,Qwest Communications 
67.200.33.16,,67.200.33.31,,GTT Communications 
67.200.33.64,,67.200.33.127,,GTT Communications 
67.211.110.0,,67.211.110.255,,Continent 8 
68.169.76.32,,68.169.76.63,,ISPrime 
69.16.150.128,,69.16.150.159,,Highwinds Network 
69.22.139.252,,69.22.139.252,,GTT Communications 
69.28.171.32,,69.28.171.33,,Limelight Networks 
72.52.92.198,,72.52.92.198,,Hurricane Electric LLC
74.125.60.96,,74.125.60.103,,Google 
74.125.61.88,,74.125.61.95,,Google 
74.125.61.168,,74.125.61.175,,Google 
74.125.81.0,,74.125.81.255,,Google 
74.199.189.160,,74.199.189.167,,Reliance Globalcom 
74.201.201.216,,74.201.201.223,,Internap 
75.77.131.134,,75.77.131.134,,Windstream Communications
75.98.202.176,,75.98.202.191,,Beanfield Technologies 
76.9.221.16,,76.9.221.31,,Beanfield Technologies 
76.74.15.0,,76.74.15.127,,Reliance Globalcom 
77.67.4.0,,77.67.4.255,,GTT Communications 
77.67.19.0,,77.67.19.255,,GTT Communications 
77.67.20.112,,77.67.20.119,,GTT Communications 
77.67.21.0,,77.67.21.255,,GTT Communications 
77.67.24.128,,77.67.24.159,,GTT Communications 
77.67.25.16,,77.67.25.31,,GTT Communications 
77.67.25.220,,77.67.25.223,,GTT Communications 
77.67.32.0,,77.67.33.255,,GTT Communications 
77.67.45.128,,77.67.45.191,,GTT Communications 
77.67.45.255,,77.67.45.255,,GTT Communications 
77.67.50.176,,77.67.50.191,,GTT Communications 
77.67.51.92,,77.67.51.95,,GTT Communications 
77.67.52.128,,77.67.52.135,,GTT Communications 
77.67.52.192,,77.67.52.223,,GTT Communications 
77.67.53.64,,77.67.53.95,,GTT Communications 
77.67.54.208,,77.67.54.215,,GTT Communications 
77.67.56.52,,77.67.56.55,,GTT Communications 
77.67.56.68,,77.67.56.71,,GTT Communications 
77.67.56.128,,77.67.56.159,,GTT Communications 
77.67.57.104,,77.67.57.111,,GTT Communications 
77.67.60.136,,77.67.60.143,,GTT Communications 
77.67.60.176,,77.67.60.183,,GTT Communications 
77.67.62.0,,77.67.62.15,,GTT Communications 
77.67.62.96,,77.67.62.103,,GTT Communications 
77.67.62.112,,77.67.62.115,,GTT Communications 
77.67.62.152,,77.67.62.155,,GTT Communications 
77.67.62.176,,77.67.62.179,,GTT Communications 
77.67.62.184,,77.67.62.191,,GTT Communications 
77.67.62.232,,77.67.62.239,,GTT Communications 
77.67.63.32,,77.67.63.47,,GTT Communications 
77.67.63.120,,77.67.63.127,,GTT Communications 
77.67.63.184,,77.67.63.199,,GTT Communications 
77.67.63.216,,77.67.63.223,,GTT Communications 
77.67.63.232,,77.67.63.239,,GTT Communications 
77.67.76.0,,77.67.76.144,,GTT Communications 
77.67.76.146,,77.67.76.201,,GTT Communications 
77.67.76.203,,77.67.76.255,,GTT Communications 
77.67.103.184,,77.67.103.191,,GTT Communications 
77.67.104.136,,77.67.104.159,,GTT Communications 
77.67.107.64,,77.67.107.79,,GTT Communications 
77.67.108.32,,77.67.108.63,,GTT Communications 
77.67.108.240,,77.67.108.255,,GTT Communications 
77.67.111.104,,77.67.111.111,,GTT Communications 
77.72.72.0,,77.72.79.255,,IE Domain Registry
77.73.208.0,,77.73.215.255,,Celtrak 
77.75.96.0,,77.75.103.255,,Airspeed Communications 
77.75.240.0,,77.75.247.255,,Liffey Telecom 
77.87.24.0,,77.87.31.255,,Campus Commodity 
77.95.160.0,,77.95.167.255,,Fastcom Broadband 
77.107.192.0,,77.107.233.79,,Fulnett 
77.107.233.88,,77.107.255.255,,Fulnett 
77.238.176.1,,77.238.176.1,,Yahoo!
77.238.176.5,,77.238.176.5,,Yahoo!
77.238.176.8,,77.238.176.14,,Yahoo!
77.238.176.16,,77.238.176.67,,Yahoo!
77.238.176.73,,77.238.176.74,,Yahoo!
77.238.176.81,,77.238.176.84,,Yahoo!
77.238.176.86,,77.238.176.134,,Yahoo!
77.238.176.137,,77.238.176.254,,Yahoo!
77.238.177.1,,77.238.177.1,,Yahoo!
77.238.177.8,,77.238.177.8,,Yahoo!
77.238.177.10,,77.238.177.240,,Yahoo!
77.238.178.0,,77.238.178.255,,Yahoo!
77.238.179.1,,77.238.179.1,,Yahoo!
77.238.179.5,,77.238.179.15,,Yahoo!
77.238.179.32,,77.238.179.222,,Yahoo!
77.238.179.224,,77.238.179.242,,Yahoo!
77.238.179.244,,77.238.179.254,,Yahoo!
77.238.184.1,,77.238.184.6,,Yahoo!
77.238.184.25,,77.238.184.26,,Yahoo!
77.238.184.40,,77.238.184.40,,Yahoo!
77.238.184.44,,77.238.184.151,,Yahoo!
77.238.184.192,,77.238.184.239,,Yahoo!
77.238.185.1,,77.238.185.4,,Yahoo!
77.238.185.7,,77.238.185.8,,Yahoo!
77.238.185.10,,77.238.185.19,,Yahoo!
77.238.185.21,,77.238.185.22,,Yahoo!
77.238.185.24,,77.238.185.24,,Yahoo!
77.238.185.26,,77.238.185.31,,Yahoo!
77.238.185.33,,77.238.185.35,,Yahoo!
77.238.185.37,,77.238.185.37,,Yahoo!
77.238.185.39,,77.238.185.40,,Yahoo!
77.238.185.42,,77.238.185.48,,Yahoo!
77.238.185.50,,77.238.185.56,,Yahoo!
77.238.185.58,,77.238.185.58,,Yahoo!
77.238.186.2,,77.238.186.2,,Yahoo!
77.238.186.4,,77.238.186.4,,Yahoo!
77.238.186.10,,77.238.186.10,,Yahoo!
77.238.186.12,,77.238.186.12,,Yahoo!
77.238.186.20,,77.238.186.44,,Yahoo!
77.238.186.46,,77.238.186.46,,Yahoo!
77.238.186.48,,77.238.186.48,,Yahoo!
77.238.186.50,,77.238.186.50,,Yahoo!
77.238.186.52,,77.238.186.63,,Yahoo!
77.238.186.65,,77.238.186.70,,Yahoo!
77.238.186.72,,77.238.186.75,,Yahoo!
77.238.186.84,,77.238.186.85,,Yahoo!
77.238.186.254,,77.238.186.255,,Yahoo!
77.238.188.0,,77.238.189.255,,Yahoo!
77.238.190.2,,77.238.190.5,,Yahoo!
77.238.190.7,,77.238.190.7,,Yahoo!
77.238.190.9,,77.238.190.9,,Yahoo!
77.238.190.11,,77.238.190.11,,Yahoo!
77.238.190.13,,77.238.190.13,,Yahoo!
77.238.190.15,,77.238.190.15,,Yahoo!
77.238.190.17,,77.238.190.17,,Yahoo!
77.238.190.19,,77.238.190.19,,Yahoo!
77.238.190.21,,77.238.190.21,,Yahoo!
77.238.190.23,,77.238.190.23,,Yahoo!
77.238.190.25,,77.238.190.25,,Yahoo!
77.238.190.27,,77.238.190.27,,Yahoo!
77.238.190.29,,77.238.190.29,,Yahoo!
77.238.190.31,,77.238.190.31,,Yahoo!
77.238.190.33,,77.238.190.33,,Yahoo!
77.238.190.35,,77.238.190.35,,Yahoo!
77.238.190.37,,77.238.190.105,,Yahoo!
78.16.0.0,,78.16.245.255,,BT Communications 
78.16.247.0,,78.19.255.255,,BT Communications 
78.24.16.0,,78.24.23.255,,Bitbuzz 
78.31.212.0,,78.31.213.255,,Ajisko 
78.40.111.0,,78.40.111.255,,Telecitygroup 
78.108.112.0,,78.108.112.255,,Citrix Online 
78.108.122.0,,78.108.122.255,,Citrix Online 
78.135.128.0,,78.135.255.255,,Imagine Communications 
78.137.128.0,,78.137.178.47,,Digiweb 
78.137.178.64,,78.137.178.143,,Digiweb 
78.137.178.152,,78.137.187.255,,Digiweb 
78.137.189.0,,78.137.191.255,,Digiweb 
78.143.128.0,,78.143.191.255,,Ripple Communications 
78.152.34.4,,78.152.34.4,,Hibernia Networks
78.152.34.6,,78.152.34.6,,Hibernia Networks
78.152.34.201,,78.152.34.201,,Hibernia Networks
78.152.35.102,,78.152.35.102,,Hibernia Networks
78.152.35.236,,78.152.35.236,,Hibernia Networks
78.152.44.94,,78.152.44.95,,Hibernia Networks
78.152.44.100,,78.152.44.100,,Hibernia Networks
78.152.44.248,,78.152.44.248,,Hibernia Networks
78.152.46.210,,78.152.46.210,,Hibernia Networks
78.152.54.190,,78.152.54.191,,Hibernia Networks
78.152.63.91,,78.152.63.91,,Hibernia Networks
78.152.192.0,,78.152.255.255,,Vodafone 
78.153.192.0,,78.153.223.255,,Blacknight Internet Solutions 
78.155.224.0,,78.155.255.255,,North West Electronics
78.158.96.0,,78.158.127.255,,3playplus 
79.97.0.0,,79.97.255.255,,Liberty Global 
79.98.236.0,,79.98.236.255,,MCI Communications  
79.125.0.0,,79.125.127.255,,Amazon
79.140.128.0,,79.140.136.74,,Sungard Availability Services 
79.140.136.76,,79.140.136.100,,Sungard Availability Services 
79.140.136.102,,79.140.143.255,,Sungard Availability Services 
79.140.208.0,,79.140.223.255,,Ajisko 
79.141.162.0,,79.141.162.255,,HZ Hosting 
79.143.192.0,,79.143.207.255,,Magnet Networks 
79.170.240.0,,79.170.247.255,,Irish domains 
79.171.72.0,,79.171.79.255,,Adelphi Net1 
80.6.226.96,,80.6.226.111,,Virgin Media 
80.91.247.70,,80.91.247.71,,Telia Company 
80.91.249.134,,80.91.249.134,,Telia Company 
80.91.255.16,,80.91.255.17,,Telia Company 
80.91.255.87,,80.91.255.88,,Telia Company 
80.93.0.0,,80.93.9.80,,Sprint
80.93.9.82,,80.93.9.88,,Sprint
80.93.9.90,,80.93.9.92,,Sprint
80.93.9.94,,80.93.9.108,,Sprint
80.93.9.110,,80.93.10.7,,Sprint
80.93.10.88,,80.93.10.95,,Sprint
80.93.10.104,,80.93.10.111,,Sprint
80.93.10.128,,80.93.10.191,,Sprint
80.93.10.208,,80.93.10.223,,Sprint
80.93.10.232,,80.93.10.239,,Sprint
80.93.15.0,,80.93.31.255,,Sprint
80.94.64.95,,80.94.64.95,,Hibernia Networks 
80.94.64.98,,80.94.64.98,,Hibernia Networks 
80.111.0.0,,80.111.255.255,,Liberty Global
80.152.47.72,,80.152.47.79,,Deutsche Telekom 
80.169.56.0,,80.169.57.31,,COLT Technology 
80.169.57.40,,80.169.57.47,,COLT Technology 
80.169.57.56,,80.169.57.159,,COLT Technology 
80.169.57.176,,80.169.58.255,,COLT Technology 
80.169.59.72,,80.169.59.87,,COLT Technology 
80.169.59.96,,80.169.59.111,,COLT Technology 
80.169.59.120,,80.169.59.127,,COLT Technology 
80.169.59.136,,80.169.59.159,,COLT Technology 
80.169.59.192,,80.169.59.223,,COLT Technology 
80.169.134.160,,80.169.134.191,,COLT Technology 
80.169.136.0,,80.169.137.95,,COLT Technology 
80.169.137.136,,80.169.137.183,,COLT Technology 
80.169.137.192,,80.169.137.223,,COLT Technology 
80.169.137.232,,80.169.138.79,,COLT Technology 
80.169.138.104,,80.169.138.119,,COLT Technology 
80.169.138.128,,80.169.138.167,,COLT Technology 
80.169.138.176,,80.169.138.199,,COLT Technology 
80.169.138.208,,80.169.139.95,,COLT Technology 
80.169.139.104,,80.169.139.151,,COLT Technology 
80.169.139.160,,80.169.140.127,,COLT Technology 
80.169.140.136,,80.169.140.159,,COLT Technology 
80.169.140.192,,80.169.141.31,,COLT Technology 
80.169.141.40,,80.169.141.47,,COLT Technology 
80.169.141.56,,80.169.141.71,,COLT Technology 
80.169.141.80,,80.169.141.95,,COLT Technology 
80.169.141.136,,80.169.141.215,,COLT Technology 
80.169.141.224,,80.169.142.31,,COLT Technology 
80.169.142.48,,80.169.142.63,,COLT Technology 
80.169.142.72,,80.169.142.127,,COLT Technology 
80.169.142.136,,80.169.142.143,,COLT Technology 
80.169.142.192,,80.169.142.207,,COLT Technology 
80.169.142.224,,80.169.143.127,,COLT Technology 
80.169.143.144,,80.169.143.151,,COLT Technology 
80.169.143.192,,80.169.143.255,,COLT Technology 
80.169.171.168,,80.169.171.175,,COLT Technology 
80.169.179.152,,80.169.179.159,,COLT Technology 
80.169.236.8,,80.169.236.39,,COLT Technology 
80.169.236.48,,80.169.236.127,,COLT Technology 
80.169.236.136,,80.169.236.143,,COLT Technology 
80.169.236.168,,80.169.236.175,,COLT Technology 
80.169.236.224,,80.169.237.255,,COLT Technology 
80.169.239.40,,80.169.239.47,,COLT Technology 
80.169.255.0,,80.169.255.255,,COLT Technology 
80.231.49.64,,80.231.49.71,,TATA Communications 
80.231.231.192,,80.231.231.255,,TATA Communications 
80.233.0.0,,80.233.127.255,,Three Ireland
80.239.128.18,,80.239.128.18,,Telia Company
80.239.128.86,,80.239.128.86,,Telia Company
80.239.130.162,,80.239.130.166,,Telia Company
80.239.161.226,,80.239.161.226,,Telia Company
80.239.167.142,,80.239.167.142,,Telia Company
80.239.167.146,,80.239.167.146,,Telia Company
80.239.167.150,,80.239.167.150,,Telia Company
80.239.170.64,,80.239.170.95,,Telia Company
80.239.192.42,,80.239.192.42,,Telia Company
80.239.192.78,,80.239.192.78,,Telia Company
80.239.196.54,,80.239.196.54,,Telia Company
80.241.68.204,,80.241.68.207,,Masergy Communications
80.241.70.184,,80.241.70.191,,Masergy Communications
80.241.73.160,,80.241.73.167,,Masergy Communications
80.241.73.216,,80.241.73.219,,Masergy Communications
80.241.74.192,,80.241.74.223,,Masergy Communications
80.241.75.56,,80.241.75.67,,Masergy Communications
80.241.75.176,,80.241.75.183,,Masergy Communications
80.241.75.224,,80.241.75.255,,Masergy Communications
80.241.78.208,,80.241.78.215,,Masergy Communications
80.249.240.0,,80.249.255.255,,Adelphi Net1 
81.17.240.0,,81.17.245.192,,Blacknight Internet Solutions 
81.17.246.0,,81.17.247.63,,Blacknight Internet Solutions 
81.17.247.80,,81.17.255.255,,Blacknight Internet Solutions
81.21.144.0,,81.21.149.255,,Digital River Ireland 
81.21.151.0,,81.21.159.255,,Digital River Ireland 
81.24.248.0,,81.24.255.255,,Kerry Broadband 
81.31.208.0,,81.31.215.255,,Permanet 
81.88.60.0,,81.88.60.31,,Register.it 
81.173.12.0,,81.173.15.255,,Garnier Projects
81.201.90.64,,81.201.90.79,,Voxbone
81.209.149.64,,81.209.149.95,,euNetworks 
82.141.192.0,,82.141.255.255,,Eircom
82.150.4.0,,82.150.7.255,,British Telecommunications 
82.163.80.208,,82.163.80.223,,Cds Emea 
82.195.128.0,,82.195.159.255,,Sungard Availability Services
82.197.168.45,,82.197.168.45,,Init7 
82.197.168.166,,82.197.168.166,,Init8
82.197.168.201,,82.197.168.201,,Init9
82.198.128.0,,82.198.159.255,,Interfusion Networks 
83.70.0.0,,83.71.137.95,,Eircom
83.71.137.112,,83.71.255.255,,Eircom
83.97.88.73,,83.97.88.74,,GEANT 
83.97.88.77,,83.97.88.78,,GEANT 
83.97.89.20,,83.97.89.23,,GEANT 
83.136.40.0,,83.136.47.255,,Three Ireland 
83.136.168.0,,83.136.175.255,,Irish Continental 
83.138.8.0,,83.138.15.255,,WebHost.ie 
83.141.64.0,,83.141.127.255,,Imagine Communications
83.147.128.0,,83.147.191.255,,Digiweb 
83.174.160.0,,83.174.191.255,,Eircom
83.210.0.0,,83.210.255.255,,Connexion by Boeing 
83.220.192.0,,83.220.223.255,,Casey CableVision 
83.245.10.112,,83.245.10.119,,Level 3 
83.245.37.128,,83.245.37.191,,Level 3 
83.245.39.0,,83.245.39.7,,Level 3 
83.245.74.0,,83.245.75.255,,Fastcom Broadband 
83.245.78.192,,83.245.78.255,,Level 3 
84.14.116.232,,84.14.116.239,,COLT Technology 
84.14.244.192,,84.14.244.199,,COLT Technology 
84.18.160.0,,84.18.191.255,,Thomson Reuters 
84.20.199.0,,84.20.200.255,,The Sporting Exchange
84.39.232.0,,84.39.239.255,,Cork Internet Exchange
84.51.224.0,,84.51.255.255,,Sungard Availability Services 
84.116.130.34,,84.116.130.34,,Liberty Global 
84.116.130.117,,84.116.130.118,,Liberty Global 
84.116.130.141,,84.116.130.142,,Liberty Global 
